Accuracy,Misprediction Rate,F1,Runtime,Size,Tracefile,Predictor
0.8933,10.67,0.8926000000000001,1.718,33280.0,gcc_trace.txt,YehPatt
0.9084,9.16,0.908,1.7449999999999999,165888.0,gcc_trace.txt,YehPatt
0.9114000000000001,8.86,0.9109999999999999,1.7399999999999998,204800.0,gcc_trace.txt,YehPatt
0.9126999999999998,8.73,0.9126999999999998,1.7369999999999997,262144.0,gcc_trace.txt,YehPatt
0.9129000000000002,8.710000000000003,0.9136000000000001,1.746,393216.0,gcc_trace.txt,YehPatt
0.8710000000000001,12.9,0.8709,1.7129999999999999,32776.0,gcc_trace.txt,YehPatt
0.8885,11.150000000000002,0.8880000000000001,1.7129999999999999,65568.0,gcc_trace.txt,YehPatt
0.8971,10.289999999999997,0.8964000000000001,1.7149999999999999,98432.0,gcc_trace.txt,YehPatt
0.9036000000000002,9.64,0.9031,1.7129999999999999,131584.0,gcc_trace.txt,YehPatt
0.9114000000000001,8.86,0.9109,1.7429999999999999,657408.0,gcc_trace.txt,YehPatt
0.9143000000000001,8.569999999999999,0.9138,1.7399999999999998,794624.0,gcc_trace.txt,YehPatt
0.9155,8.45,0.9154,1.737,950272.0,gcc_trace.txt,YehPatt
0.9158000000000002,8.42,0.9164999999999999,1.7449999999999999,1179648.0,gcc_trace.txt,YehPatt
0.8737999999999999,12.620000000000001,0.8736,1.7109999999999999,131080.0,gcc_trace.txt,YehPatt
0.8912999999999999,10.870000000000001,0.8908000000000001,1.714,262176.0,gcc_trace.txt,YehPatt
0.8999,10.010000000000002,0.8992000000000001,1.7149999999999999,393344.0,gcc_trace.txt,YehPatt
0.9067000000000001,9.33,0.9061999999999999,1.716,524800.0,gcc_trace.txt,YehPatt
0.7111,28.889999999999997,0.7049000000000001,1.746,2088.0,gcc_trace.txt,YehPatt
0.7573999999999999,24.259999999999998,0.7544000000000001,1.738,8240.0,gcc_trace.txt,YehPatt
0.7943,20.57,0.7940000000000002,1.722,32824.0,gcc_trace.txt,YehPatt
